listing_id,url,slug,breed,current_status,title,h1,description_length,description_unique,canonical,robots_indexability,sitemap_inclusion,incoming_internal_links,breed_page_relationship,puppies_hub_relationship,enquiry_cta,images,alt_text,schema,duplicate_risk,soft_404_risk,classification
lulu-female-1,https://www.pottyregisteredpuppies.com/puppies/lulu-female-1,lulu-female-1,Maltipoo,Available,"Lulu — Maltipoo Puppy | Female, 12 weeks | Potty Registered Puppies",Lulu,271,YES,https://www.pottyregisteredpuppies.com/puppies/lulu-female-1,YES,YES,2,VALID,VALID,YES,VALID,YES,BreadcrumbList + Product,NO,NO,STRONG_INDEXABLE
nutella-female-1,https://www.pottyregisteredpuppies.com/puppies/nutella-female-1,nutella-female-1,Pomeranian,Available,"Nutella — Pomeranian Puppy | Female, 12 weeks | Potty Registered Puppies",Nutella,275,YES,https://www.pottyregisteredpuppies.com/puppies/nutella-female-1,YES,YES,2,VALID,VALID,YES,VALID,YES,BreadcrumbList + Product,NO,NO,STRONG_INDEXABLE
toby-male-11,https://www.pottyregisteredpuppies.com/puppies/toby-male-11,toby-male-11,Maltese,Available,"Toby — Maltese Puppy | Male, 20 weeks | Potty Registered Puppies",Toby,256,YES,https://www.pottyregisteredpuppies.com/puppies/toby-male-11,YES,YES,2,VALID,VALID,YES,VALID,YES,BreadcrumbList + Product,NO,NO,STRONG_INDEXABLE
koda-male-1,https://www.pottyregisteredpuppies.com/puppies/koda-male-1,koda-male-1,Pomsky,Available,"Koda — Pomsky Puppy | Male, 12 weeks | Potty Registered Puppies",Koda,266,YES,https://www.pottyregisteredpuppies.com/puppies/koda-male-1,YES,YES,2,VALID,VALID,YES,VALID,YES,BreadcrumbList + Product,NO,NO,STRONG_INDEXABLE
monty-male-6,https://www.pottyregisteredpuppies.com/puppies/monty-male-6,monty-male-6,Poodle,Available,"Monty — Poodle Puppy | Male, 12 weeks | Potty Registered Puppies",Monty,260,YES,https://www.pottyregisteredpuppies.com/puppies/monty-male-6,YES,YES,2,VALID,VALID,YES,VALID,YES,BreadcrumbList + Product,NO,NO,STRONG_INDEXABLE
diana-female-8,https://www.pottyregisteredpuppies.com/puppies/diana-female-8,diana-female-8,Pomeranian,Available,"Diana — Pomeranian Puppy | Female, 12 weeks | Potty Registered Puppies",Diana,261,YES,https://www.pottyregisteredpuppies.com/puppies/diana-female-8,YES,YES,2,VALID,VALID,YES,VALID,YES,BreadcrumbList + Product,NO,NO,STRONG_INDEXABLE
isabella-female-4,https://www.pottyregisteredpuppies.com/puppies/isabella-female-4,isabella-female-4,Poodle,Available,"Isabella — Poodle Puppy | Female, 12 weeks | Potty Registered Puppies",Isabella,272,YES,https://www.pottyregisteredpuppies.com/puppies/isabella-female-4,YES,YES,2,VALID,VALID,YES,VALID,YES,BreadcrumbList + Product,NO,NO,STRONG_INDEXABLE
jennie-female-6,https://www.pottyregisteredpuppies.com/puppies/jennie-female-6,jennie-female-6,Poodle,Available,"Jennie — Poodle Puppy | Female, 12 weeks | Potty Registered Puppies",Jennie,264,YES,https://www.pottyregisteredpuppies.com/puppies/jennie-female-6,YES,YES,2,VALID,VALID,YES,VALID,YES,BreadcrumbList + Product,NO,NO,STRONG_INDEXABLE
diana-female-7,https://www.pottyregisteredpuppies.com/puppies/diana-female-7,diana-female-7,Pomeranian,Available,"Diana — Pomeranian Puppy | Female, 12 weeks | Potty Registered Puppies",Diana,261,YES,https://www.pottyregisteredpuppies.com/puppies/diana-female-7,YES,YES,2,VALID,VALID,YES,VALID,YES,BreadcrumbList + Product,NO,NO,STRONG_INDEXABLE
kyle-male-6,https://www.pottyregisteredpuppies.com/puppies/kyle-male-6,kyle-male-6,Pomeranian,Available,"Kyle — Pomeranian Puppy | Male, 12 weeks | Potty Registered Puppies",Kyle,257,YES,https://www.pottyregisteredpuppies.com/puppies/kyle-male-6,YES,YES,2,VALID,VALID,YES,VALID,YES,BreadcrumbList + Product,NO,NO,STRONG_INDEXABLE
oreo-male-3,https://www.pottyregisteredpuppies.com/puppies/oreo-male-3,oreo-male-3,Maltipoo,Available,"Oreo — Maltipoo Puppy | Male, 12 weeks | Potty Registered Puppies",Oreo,263,YES,https://www.pottyregisteredpuppies.com/puppies/oreo-male-3,YES,YES,2,VALID,VALID,YES,VALID,YES,BreadcrumbList + Product,NO,NO,STRONG_INDEXABLE
austin-male-6,https://www.pottyregisteredpuppies.com/puppies/austin-male-6,austin-male-6,Maltipoo,Available,"Austin — Maltipoo Puppy | Male, 12 weeks | Potty Registered Puppies",Austin,267,YES,https://www.pottyregisteredpuppies.com/puppies/austin-male-6,YES,YES,2,VALID,VALID,YES,VALID,YES,BreadcrumbList + Product,NO,NO,STRONG_INDEXABLE
skylar-female-2,https://www.pottyregisteredpuppies.com/puppies/skylar-female-2,skylar-female-2,Maltese,Available,"Skylar — Maltese Puppy | Female, 12 weeks | Potty Registered Puppies",Skylar,250,YES,https://www.pottyregisteredpuppies.com/puppies/skylar-female-2,YES,YES,2,VALID,VALID,YES,VALID,YES,BreadcrumbList + Product,NO,NO,STRONG_INDEXABLE
mochi-male-2,https://www.pottyregisteredpuppies.com/puppies/mochi-male-2,mochi-male-2,Pomeranian,Available,"Mochi — Pomeranian Puppy | Male, 12 weeks | Potty Registered Puppies",Mochi,259,YES,https://www.pottyregisteredpuppies.com/puppies/mochi-male-2,YES,YES,2,VALID,VALID,YES,VALID,YES,BreadcrumbList + Product,NO,NO,STRONG_INDEXABLE
daphne-female-3,https://www.pottyregisteredpuppies.com/puppies/daphne-female-3,daphne-female-3,Poodle,Available,"Daphne — Poodle Puppy | Female, 12 weeks | Potty Registered Puppies",Daphne,264,YES,https://www.pottyregisteredpuppies.com/puppies/daphne-female-3,YES,YES,2,VALID,VALID,YES,VALID,YES,BreadcrumbList + Product,NO,NO,STRONG_INDEXABLE
amelia-female-7,https://www.pottyregisteredpuppies.com/puppies/amelia-female-7,amelia-female-7,Poodle,Available,"Amelia — Poodle Puppy | Female, 12 weeks | Potty Registered Puppies",Amelia,268,YES,https://www.pottyregisteredpuppies.com/puppies/amelia-female-7,YES,YES,2,VALID,VALID,YES,VALID,YES,BreadcrumbList + Product,NO,NO,STRONG_INDEXABLE
teddy-male-5,https://www.pottyregisteredpuppies.com/puppies/teddy-male-5,teddy-male-5,Coton De Tulear,Available,"Teddy — Coton De Tulear Puppy | Male, 12 weeks | Potty Registered Puppies",Teddy,265,YES,https://www.pottyregisteredpuppies.com/puppies/teddy-male-5,YES,YES,2,VALID,VALID,YES,VALID,YES,BreadcrumbList + Product,NO,NO,STRONG_INDEXABLE
berry-female-3,https://www.pottyregisteredpuppies.com/puppies/berry-female-3,berry-female-3,Poodle,Available,"Berry — Poodle Puppy | Female, 12 weeks | Potty Registered Puppies",Berry,262,YES,https://www.pottyregisteredpuppies.com/puppies/berry-female-3,YES,YES,2,VALID,VALID,YES,VALID,YES,BreadcrumbList + Product,NO,NO,STRONG_INDEXABLE
doraemon-male-1,https://www.pottyregisteredpuppies.com/puppies/doraemon-male-1,doraemon-male-1,Maltipom,Available,"Doraemon — Maltipom Puppy | Male, 12 weeks | Potty Registered Puppies",Doraemon,269,YES,https://www.pottyregisteredpuppies.com/puppies/doraemon-male-1,YES,YES,2,VALID,VALID,YES,VALID,YES,BreadcrumbList + Product,NO,NO,STRONG_INDEXABLE
toby-male-10,https://www.pottyregisteredpuppies.com/puppies/toby-male-10,toby-male-10,Poodle,Available,"Toby — Poodle Puppy | Male, 12 weeks | Potty Registered Puppies",Toby,260,YES,https://www.pottyregisteredpuppies.com/puppies/toby-male-10,YES,YES,2,VALID,VALID,YES,VALID,YES,BreadcrumbList + Product,NO,NO,STRONG_INDEXABLE
isabella-female-3,https://www.pottyregisteredpuppies.com/puppies/isabella-female-3,isabella-female-3,Poodle,Available,"Isabella — Poodle Puppy | Female, 12 weeks | Potty Registered Puppies",Isabella,270,YES,https://www.pottyregisteredpuppies.com/puppies/isabella-female-3,YES,YES,2,VALID,VALID,YES,VALID,YES,BreadcrumbList + Product,NO,NO,STRONG_INDEXABLE
arlo-male-5,https://www.pottyregisteredpuppies.com/puppies/arlo-male-5,arlo-male-5,Poodle,Available,"Arlo — Poodle Puppy | Male, 12 weeks | Potty Registered Puppies",Arlo,258,YES,https://www.pottyregisteredpuppies.com/puppies/arlo-male-5,YES,YES,2,VALID,VALID,YES,VALID,YES,BreadcrumbList + Product,NO,NO,STRONG_INDEXABLE
zoey-female-3,https://www.pottyregisteredpuppies.com/puppies/zoey-female-3,zoey-female-3,Yorkie,Available,"Louie — Yorkie Puppy | Male, 20 weeks | Potty Registered Puppies",Louie,269,YES,https://www.pottyregisteredpuppies.com/puppies/zoey-female-3,YES,YES,2,VALID,VALID,YES,VALID,YES,BreadcrumbList + Product,NO,NO,STRONG_INDEXABLE
gizmo-male-2,https://www.pottyregisteredpuppies.com/puppies/gizmo-male-2,gizmo-male-2,Poodle,Available,"Gizmo — Poodle Puppy | Male, 12 weeks | Potty Registered Puppies",Gizmo,267,YES,https://www.pottyregisteredpuppies.com/puppies/gizmo-male-2,YES,YES,2,VALID,VALID,YES,VALID,YES,BreadcrumbList + Product,NO,NO,STRONG_INDEXABLE
coco-female-9,https://www.pottyregisteredpuppies.com/puppies/coco-female-9,coco-female-9,Poodle,Available,"Coco — Poodle Puppy | Female, 12 weeks | Potty Registered Puppies",Coco,267,YES,https://www.pottyregisteredpuppies.com/puppies/coco-female-9,YES,YES,2,VALID,VALID,YES,VALID,YES,BreadcrumbList + Product,NO,NO,STRONG_INDEXABLE
jessica-female-11,https://www.pottyregisteredpuppies.com/puppies/jessica-female-11,jessica-female-11,Maltipoo,Available,"Jessica — Maltipoo Puppy | Female, 12 weeks | Potty Registered Puppies",Jessica,269,YES,https://www.pottyregisteredpuppies.com/puppies/jessica-female-11,YES,YES,2,VALID,VALID,YES,VALID,YES,BreadcrumbList + Product,NO,NO,STRONG_INDEXABLE
bagel-male-4,https://www.pottyregisteredpuppies.com/puppies/bagel-male-4,bagel-male-4,Maltipoo,Available,"Bagel — Maltipoo Puppy | Male, 12 weeks | Potty Registered Puppies",Bagel,265,YES,https://www.pottyregisteredpuppies.com/puppies/bagel-male-4,YES,YES,2,VALID,VALID,YES,VALID,YES,BreadcrumbList + Product,NO,NO,STRONG_INDEXABLE
velvet-female-7,https://www.pottyregisteredpuppies.com/puppies/velvet-female-7,velvet-female-7,Poodle,Available,"Velvet — Poodle Puppy | Female, 12 weeks | Potty Registered Puppies",Velvet,264,YES,https://www.pottyregisteredpuppies.com/puppies/velvet-female-7,YES,YES,2,VALID,VALID,YES,VALID,YES,BreadcrumbList + Product,NO,NO,STRONG_INDEXABLE
agatha-female-5,https://www.pottyregisteredpuppies.com/puppies/agatha-female-5,agatha-female-5,Poodle,Available,"Agatha — Poodle Puppy | Female, 12 weeks | Potty Registered Puppies",Agatha,268,YES,https://www.pottyregisteredpuppies.com/puppies/agatha-female-5,YES,YES,2,VALID,VALID,YES,VALID,YES,BreadcrumbList + Product,NO,NO,STRONG_INDEXABLE
velvet-female-6,https://www.pottyregisteredpuppies.com/puppies/velvet-female-6,velvet-female-6,Poodle,Available,"Sienna — Poodle Puppy | Female, 12 weeks | Potty Registered Puppies",Sienna,268,YES,https://www.pottyregisteredpuppies.com/puppies/velvet-female-6,YES,YES,2,VALID,VALID,YES,VALID,YES,BreadcrumbList + Product,NO,NO,STRONG_INDEXABLE
arlo-male-4,https://www.pottyregisteredpuppies.com/puppies/arlo-male-4,arlo-male-4,Poodle,Available,"Arlo — Poodle Puppy | Male, 12 weeks | Potty Registered Puppies",Arlo,258,YES,https://www.pottyregisteredpuppies.com/puppies/arlo-male-4,YES,YES,2,VALID,VALID,YES,VALID,YES,BreadcrumbList + Product,NO,NO,STRONG_INDEXABLE
toto-male-3,https://www.pottyregisteredpuppies.com/puppies/toto-male-3,toto-male-3,Yorkie,Available,"Toto — Yorkie Puppy | Male, 16 weeks | Potty Registered Puppies",Toto,261,YES,https://www.pottyregisteredpuppies.com/puppies/toto-male-3,YES,YES,2,VALID,VALID,YES,VALID,YES,BreadcrumbList + Product,NO,NO,STRONG_INDEXABLE
diana-female-6,https://www.pottyregisteredpuppies.com/puppies/diana-female-6,diana-female-6,Pomeranian,Available,"Diana — Pomeranian Puppy | Female, 12 weeks | Potty Registered Puppies",Diana,261,YES,https://www.pottyregisteredpuppies.com/puppies/diana-female-6,YES,YES,2,VALID,VALID,YES,VALID,YES,BreadcrumbList + Product,NO,NO,STRONG_INDEXABLE
gigi-female-8,https://www.pottyregisteredpuppies.com/puppies/gigi-female-8,gigi-female-8,Maltipoo,Available,"Gigi — Maltipoo Puppy | Female, 12 weeks | Potty Registered Puppies",Gigi,265,YES,https://www.pottyregisteredpuppies.com/puppies/gigi-female-8,YES,YES,2,VALID,VALID,YES,VALID,YES,BreadcrumbList + Product,NO,NO,STRONG_INDEXABLE
austin-male-5,https://www.pottyregisteredpuppies.com/puppies/austin-male-5,austin-male-5,Maltipoo,Available,"Austin — Maltipoo Puppy | Male, 12 weeks | Potty Registered Puppies",Austin,267,YES,https://www.pottyregisteredpuppies.com/puppies/austin-male-5,YES,YES,2,VALID,VALID,YES,VALID,YES,BreadcrumbList + Product,NO,NO,STRONG_INDEXABLE
milo-male-11,https://www.pottyregisteredpuppies.com/puppies/milo-male-11,milo-male-11,Poodle,Available,"Milo — Poodle Puppy | Male, 12 weeks | Potty Registered Puppies",Milo,259,YES,https://www.pottyregisteredpuppies.com/puppies/milo-male-11,YES,YES,2,VALID,VALID,YES,VALID,YES,BreadcrumbList + Product,NO,NO,STRONG_INDEXABLE
luna-female-4,https://www.pottyregisteredpuppies.com/puppies/luna-female-4,luna-female-4,Poodle,Available,"Luna — Poodle Puppy | Female, 12 weeks | Potty Registered Puppies",Luna,264,YES,https://www.pottyregisteredpuppies.com/puppies/luna-female-4,YES,YES,2,VALID,VALID,YES,VALID,YES,BreadcrumbList + Product,NO,NO,STRONG_INDEXABLE
inky-female,https://www.pottyregisteredpuppies.com/puppies/inky-female,inky-female,Mini Schnauzer,Available,"Inky — Mini Schnauzer Puppy | Female, 12 weeks | Potty Registered Puppies",Inky,279,YES,https://www.pottyregisteredpuppies.com/puppies/inky-female,YES,YES,2,VALID,VALID,YES,VALID,YES,BreadcrumbList + Product,NO,NO,STRONG_INDEXABLE
jennie-female-5,https://www.pottyregisteredpuppies.com/puppies/jennie-female-5,jennie-female-5,Poodle,Available,"Jennie — Poodle Puppy | Female, 12 weeks | Potty Registered Puppies",Jennie,266,YES,https://www.pottyregisteredpuppies.com/puppies/jennie-female-5,YES,YES,2,VALID,VALID,YES,VALID,YES,BreadcrumbList + Product,NO,NO,STRONG_INDEXABLE
noah-male-1,https://www.pottyregisteredpuppies.com/puppies/noah-male-1,noah-male-1,Maltipoo,Available,"Noah — Maltipoo Puppy | Male, 12 weeks | Potty Registered Puppies",Noah,263,YES,https://www.pottyregisteredpuppies.com/puppies/noah-male-1,YES,YES,2,VALID,VALID,YES,VALID,YES,BreadcrumbList + Product,NO,NO,STRONG_INDEXABLE
coco-female-8,https://www.pottyregisteredpuppies.com/puppies/coco-female-8,coco-female-8,Pomsky,Available,"Coco — Pomsky Puppy | Female, 12 weeks | Potty Registered Puppies",Coco,268,YES,https://www.pottyregisteredpuppies.com/puppies/coco-female-8,YES,YES,2,VALID,VALID,YES,VALID,YES,BreadcrumbList + Product,NO,NO,STRONG_INDEXABLE
scarlet-female-2,https://www.pottyregisteredpuppies.com/puppies/scarlet-female-2,scarlet-female-2,Pomapoo,Available,"Scarlet — Pomapoo Puppy | Female, 12 weeks | Potty Registered Puppies",Scarlet,270,YES,https://www.pottyregisteredpuppies.com/puppies/scarlet-female-2,YES,YES,2,VALID,VALID,YES,VALID,YES,BreadcrumbList + Product,NO,NO,STRONG_INDEXABLE
mochi-female-9,https://www.pottyregisteredpuppies.com/puppies/mochi-female-9,mochi-female-9,Maltese,Available,"Mochi — Maltese Puppy | Female, 16 weeks | Potty Registered Puppies",Mochi,260,YES,https://www.pottyregisteredpuppies.com/puppies/mochi-female-9,YES,YES,2,VALID,VALID,YES,VALID,YES,BreadcrumbList + Product,NO,NO,STRONG_INDEXABLE
amber-female-5,https://www.pottyregisteredpuppies.com/puppies/amber-female-5,amber-female-5,Poodle,Available,"Amber — Poodle Puppy | Female, 12 weeks | Potty Registered Puppies",Amber,262,YES,https://www.pottyregisteredpuppies.com/puppies/amber-female-5,YES,YES,2,VALID,VALID,YES,VALID,YES,BreadcrumbList + Product,NO,NO,STRONG_INDEXABLE
stella-female-7,https://www.pottyregisteredpuppies.com/puppies/stella-female-7,stella-female-7,Yorkie,Available,"Stella — Yorkie Puppy | Female, 16 weeks | Potty Registered Puppies",Stella,273,YES,https://www.pottyregisteredpuppies.com/puppies/stella-female-7,YES,YES,2,VALID,VALID,YES,VALID,YES,BreadcrumbList + Product,NO,NO,STRONG_INDEXABLE
myles-male-7,https://www.pottyregisteredpuppies.com/puppies/myles-male-7,myles-male-7,Maltipoo,Available,"Myles — Maltipoo Puppy | Male, 12 weeks | Potty Registered Puppies",Myles,265,YES,https://www.pottyregisteredpuppies.com/puppies/myles-male-7,YES,YES,2,VALID,VALID,YES,VALID,YES,BreadcrumbList + Product,NO,NO,STRONG_INDEXABLE
bailey-male-3,https://www.pottyregisteredpuppies.com/puppies/bailey-male-3,bailey-male-3,Poodle,Available,"Bailey — Poodle Puppy | Male, 12 weeks | Potty Registered Puppies",Bailey,262,YES,https://www.pottyregisteredpuppies.com/puppies/bailey-male-3,YES,YES,2,VALID,VALID,YES,VALID,YES,BreadcrumbList + Product,NO,NO,STRONG_INDEXABLE
jack-male-1,https://www.pottyregisteredpuppies.com/puppies/jack-male-1,jack-male-1,Poodle,Available,"Jack — Poodle Puppy | Male, 12 weeks | Potty Registered Puppies",Jack,258,YES,https://www.pottyregisteredpuppies.com/puppies/jack-male-1,YES,YES,2,VALID,VALID,YES,VALID,YES,BreadcrumbList + Product,NO,NO,STRONG_INDEXABLE
austin-male-4,https://www.pottyregisteredpuppies.com/puppies/austin-male-4,austin-male-4,Maltipoo,Available,"Austin — Maltipoo Puppy | Male, 12 weeks | Potty Registered Puppies",Austin,267,YES,https://www.pottyregisteredpuppies.com/puppies/austin-male-4,YES,YES,2,VALID,VALID,YES,VALID,YES,BreadcrumbList + Product,NO,NO,STRONG_INDEXABLE
jessie-female-2,https://www.pottyregisteredpuppies.com/puppies/jessie-female-2,jessie-female-2,Maltipoo,Available,"Jessie — Maltipoo Puppy | Female, 12 weeks | Potty Registered Puppies",Jessie,269,YES,https://www.pottyregisteredpuppies.com/puppies/jessie-female-2,YES,YES,2,VALID,VALID,YES,VALID,YES,BreadcrumbList + Product,NO,NO,STRONG_INDEXABLE
oscar-male-6,https://www.pottyregisteredpuppies.com/puppies/oscar-male-6,oscar-male-6,Pomsky,Available,"Oscar — Pomsky Puppy | Male, 12 weeks | Potty Registered Puppies",Oscar,270,YES,https://www.pottyregisteredpuppies.com/puppies/oscar-male-6,YES,YES,2,VALID,VALID,YES,VALID,YES,BreadcrumbList + Product,NO,NO,STRONG_INDEXABLE
roxy-female-7,https://www.pottyregisteredpuppies.com/puppies/roxy-female-7,roxy-female-7,Pomsky,Available,"Roxy — Pomsky Puppy | Female, 12 weeks | Potty Registered Puppies",Roxy,262,YES,https://www.pottyregisteredpuppies.com/puppies/roxy-female-7,YES,YES,2,VALID,VALID,YES,VALID,YES,BreadcrumbList + Product,NO,NO,STRONG_INDEXABLE
pommy-male-2,https://www.pottyregisteredpuppies.com/puppies/pommy-male-2,pommy-male-2,Pomeranian,Available,"Pommy — Pomeranian Puppy | Male, 16 weeks | Potty Registered Puppies",Pommy,260,YES,https://www.pottyregisteredpuppies.com/puppies/pommy-male-2,YES,YES,2,VALID,VALID,YES,VALID,YES,BreadcrumbList + Product,NO,NO,STRONG_INDEXABLE
myles-male-6,https://www.pottyregisteredpuppies.com/puppies/myles-male-6,myles-male-6,Maltipoo,Available,"Myles — Maltipoo Puppy | Male, 12 weeks | Potty Registered Puppies",Myles,265,YES,https://www.pottyregisteredpuppies.com/puppies/myles-male-6,YES,YES,2,VALID,VALID,YES,VALID,YES,BreadcrumbList + Product,NO,NO,STRONG_INDEXABLE
