source_url,source_type,breed,guide_url,guide_category,reason,contextual_relevance
/breeds/doodle,BREED,Doodle,/guides/puppy-training-basics,Training,early training and socialisation foundations,medium
/breeds/doodle,BREED,Doodle,/guides/questions-to-ask,Guidance,questions to ask about parents and early life,high
/breeds/maltipom,BREED,Maltipom,/guides/choosing-the-right-breed,Getting Started,"comparing temperament, energy, and coat commitments",high
/breeds/maltipom,BREED,Maltipom,/guides/puppy-training-basics,Training,early training and socialisation foundations,medium
/breeds/maltipom,BREED,Maltipom,/guides/questions-to-ask,Guidance,questions to ask about parents and early life,high
/breeds/maltitzu,BREED,Maltitzu,/guides/choosing-the-right-breed,Getting Started,"comparing temperament, energy, and coat commitments",high
/breeds/maltitzu,BREED,Maltitzu,/guides/puppy-training-basics,Training,early training and socialisation foundations,medium
/breeds/maltitzu,BREED,Maltitzu,/guides/questions-to-ask,Guidance,questions to ask about parents and early life,high
/breeds/biewer-terrier,BREED,Biewer Terrier,/guides/choosing-the-right-breed,Getting Started,breed selection and lifestyle fit,high
/breeds/biewer-terrier,BREED,Biewer Terrier,/guides/questions-to-ask,Guidance,questions to ask before viewing or committing,high
/breeds/biewer-terrier,BREED,Biewer Terrier,/guides/preparing-for-a-puppy,Preparation,practical preparation for bringing home a puppy,medium
/breeds/mini-schnauzer,BREED,Miniature Schnauzer,/guides/questions-to-ask,Guidance,questions to ask before committing,high
/breeds/mini-schnauzer,BREED,Miniature Schnauzer,/guides/puppy-training-basics,Training,reward-based training and recall foundations,medium
/breeds/mini-schnauzer,BREED,Miniature Schnauzer,/guides/preparing-for-a-puppy,Preparation,setting up a safe home before collection,medium
/breeds/bichon-frise,BREED,Bichon Frisé,/guides/choosing-the-right-breed,Getting Started,matching a companion breed to the household,high
/breeds/bichon-frise,BREED,Bichon Frisé,/guides/health-and-care,Health,early veterinary care and everyday wellbeing,medium
/breeds/bichon-frise,BREED,Bichon Frisé,/guides/questions-to-ask,Guidance,evidence and documentation questions,high
/breeds/frenchie,BREED,French Bulldog,/guides/choosing-the-right-breed,Getting Started,matching a companion breed to the household,high
/breeds/frenchie,BREED,French Bulldog,/guides/health-and-care,Health,early veterinary care and everyday wellbeing,medium
/breeds/frenchie,BREED,French Bulldog,/guides/questions-to-ask,Guidance,evidence and documentation questions,high
/breeds/dachshund,BREED,Dachshund,/guides/choosing-the-right-breed,Getting Started,understanding exercise and lifestyle fit,high
/breeds/dachshund,BREED,Dachshund,/guides/questions-to-ask,Guidance,questions about parents and health documentation,high
/breeds/dachshund,BREED,Dachshund,/guides/health-and-care,Health,"early care, feeding, and veterinary routines",medium
/breeds/chihuahua,BREED,Chihuahua,/guides/choosing-the-right-breed,Getting Started,breed selection and lifestyle fit,high
/breeds/chihuahua,BREED,Chihuahua,/guides/questions-to-ask,Guidance,questions to ask before viewing or committing,high
/breeds/chihuahua,BREED,Chihuahua,/guides/preparing-for-a-puppy,Preparation,practical preparation for bringing home a puppy,medium
/breeds/king-charles,BREED,Cavalier King Charles Spaniel,/guides/choosing-the-right-breed,Getting Started,breed selection and lifestyle fit,high
/breeds/king-charles,BREED,Cavalier King Charles Spaniel,/guides/questions-to-ask,Guidance,questions to ask before viewing or committing,high
/breeds/king-charles,BREED,Cavalier King Charles Spaniel,/guides/preparing-for-a-puppy,Preparation,practical preparation for bringing home a puppy,medium
/breeds/mauzer,BREED,Mauzer,/guides/choosing-the-right-breed,Getting Started,"comparing temperament, energy, and coat commitments",high
/breeds/mauzer,BREED,Mauzer,/guides/puppy-training-basics,Training,early training and socialisation foundations,medium
/breeds/mauzer,BREED,Mauzer,/guides/questions-to-ask,Guidance,questions to ask about parents and early life,high
/breeds/pomapoo,BREED,Pomapoo,/guides/choosing-the-right-breed,Getting Started,"comparing temperament, energy, and coat commitments",high
/breeds/pomapoo,BREED,Pomapoo,/guides/puppy-training-basics,Training,early training and socialisation foundations,medium
/breeds/pomapoo,BREED,Pomapoo,/guides/questions-to-ask,Guidance,questions to ask about parents and early life,high
/breeds/mame-shiba,BREED,Mame Shiba Inu,/guides/choosing-the-right-breed,Getting Started,matching a companion breed to the household,high
/breeds/mame-shiba,BREED,Mame Shiba Inu,/guides/health-and-care,Health,early veterinary care and everyday wellbeing,medium
/breeds/mame-shiba,BREED,Mame Shiba Inu,/guides/questions-to-ask,Guidance,evidence and documentation questions,high
/breeds/shih-zhu,BREED,Shih Tzu,/guides/choosing-the-right-breed,Getting Started,breed selection and lifestyle fit,high
/breeds/shih-zhu,BREED,Shih Tzu,/guides/questions-to-ask,Guidance,questions to ask before viewing or committing,high
/breeds/shih-zhu,BREED,Shih Tzu,/guides/preparing-for-a-puppy,Preparation,practical preparation for bringing home a puppy,medium
/breeds/pug,BREED,Pug,/guides/choosing-the-right-breed,Getting Started,breed selection and lifestyle fit,high
/breeds/pug,BREED,Pug,/guides/questions-to-ask,Guidance,questions to ask before viewing or committing,high
/breeds/pug,BREED,Pug,/guides/preparing-for-a-puppy,Preparation,practical preparation for bringing home a puppy,medium
/puppies/lulu-female-1,PUPPY,Maltipoo,/guides/questions-to-ask,Guidance,questions to ask before viewing or committing,high
/puppies/lulu-female-1,PUPPY,Maltipoo,/guides/health-and-care,Health,early care and veterinary routines,high
/puppies/lulu-female-1,PUPPY,Maltipoo,/guides/preparing-for-a-puppy,Preparation,preparing for a young puppy joining the household,high
/puppies/oscar-male-7,PUPPY,Pomsky,/guides/questions-to-ask,Guidance,questions to ask before viewing or committing,high
/puppies/oscar-male-7,PUPPY,Pomsky,/guides/health-and-care,Health,early care and veterinary routines,high
/puppies/oscar-male-7,PUPPY,Pomsky,/guides/preparing-for-a-puppy,Preparation,preparing for a young puppy joining the household,high
/puppies/diana-female-10,PUPPY,Pomeranian,/guides/questions-to-ask,Guidance,questions to ask before viewing or committing,high
/puppies/diana-female-10,PUPPY,Pomeranian,/guides/health-and-care,Health,early care and veterinary routines,high
/puppies/diana-female-10,PUPPY,Pomeranian,/guides/preparing-for-a-puppy,Preparation,preparing for a young puppy joining the household,high
/puppies/toffee-male-1,PUPPY,Poodle,/guides/questions-to-ask,Guidance,questions to ask before viewing or committing,high
/puppies/toffee-male-1,PUPPY,Poodle,/guides/health-and-care,Health,early care and veterinary routines,high
/puppies/toffee-male-1,PUPPY,Poodle,/guides/preparing-for-a-puppy,Preparation,preparing for a young puppy joining the household,high
/puppies/theo-male-4,PUPPY,Pomeranian,/guides/questions-to-ask,Guidance,questions to ask before viewing or committing,high
/puppies/theo-male-4,PUPPY,Pomeranian,/guides/health-and-care,Health,early care and veterinary routines,high
/puppies/theo-male-4,PUPPY,Pomeranian,/guides/preparing-for-a-puppy,Preparation,preparing for a young puppy joining the household,high
/puppies/diana-female-9,PUPPY,Pomeranian,/guides/questions-to-ask,Guidance,questions to ask before viewing or committing,high
/puppies/diana-female-9,PUPPY,Pomeranian,/guides/health-and-care,Health,early care and veterinary routines,high
/puppies/diana-female-9,PUPPY,Pomeranian,/guides/preparing-for-a-puppy,Preparation,preparing for a young puppy joining the household,high
/puppies/giselle-female-1,PUPPY,Maltipom,/guides/questions-to-ask,Guidance,questions to ask before viewing or committing,high
/puppies/giselle-female-1,PUPPY,Maltipom,/guides/health-and-care,Health,early care and veterinary routines,high
/puppies/giselle-female-1,PUPPY,Maltipom,/guides/preparing-for-a-puppy,Preparation,preparing for a young puppy joining the household,high
/puppies/jessie-female-3,PUPPY,Maltipoo,/guides/questions-to-ask,Guidance,questions to ask before viewing or committing,high
/puppies/jessie-female-3,PUPPY,Maltipoo,/guides/health-and-care,Health,early care and veterinary routines,high
/puppies/jessie-female-3,PUPPY,Maltipoo,/guides/preparing-for-a-puppy,Preparation,preparing for a young puppy joining the household,high
/puppies/amber-female-6,PUPPY,Poodle,/guides/questions-to-ask,Guidance,questions to ask before viewing or committing,high
/puppies/amber-female-6,PUPPY,Poodle,/guides/health-and-care,Health,early care and veterinary routines,high
/puppies/amber-female-6,PUPPY,Poodle,/guides/preparing-for-a-puppy,Preparation,preparing for a young puppy joining the household,high
/puppies/berry-female-4,PUPPY,Poodle,/guides/questions-to-ask,Guidance,questions to ask before viewing or committing,high
/puppies/berry-female-4,PUPPY,Poodle,/guides/health-and-care,Health,early care and veterinary routines,high
/puppies/berry-female-4,PUPPY,Poodle,/guides/preparing-for-a-puppy,Preparation,preparing for a young puppy joining the household,high
/puppies/lily-female-1,PUPPY,Yorkie,/guides/questions-to-ask,Guidance,questions to ask before viewing or committing,high
/puppies/lily-female-1,PUPPY,Yorkie,/guides/health-and-care,Health,early care and veterinary routines,high
/puppies/lily-female-1,PUPPY,Yorkie,/guides/puppy-training-basics,Training,building training habits with an older puppy,high
/puppies/arlo-male-6,PUPPY,Poodle,/guides/questions-to-ask,Guidance,questions to ask before viewing or committing,high
/puppies/arlo-male-6,PUPPY,Poodle,/guides/health-and-care,Health,early care and veterinary routines,high
/puppies/arlo-male-6,PUPPY,Poodle,/guides/puppy-training-basics,Training,building training habits with an older puppy,high
/puppies/thor-male-3,PUPPY,Pomeranian,/guides/questions-to-ask,Guidance,questions to ask before viewing or committing,high
/puppies/thor-male-3,PUPPY,Pomeranian,/guides/health-and-care,Health,early care and veterinary routines,high
/puppies/thor-male-3,PUPPY,Pomeranian,/guides/preparing-for-a-puppy,Preparation,preparing for a young puppy joining the household,high
/puppies/toby-male-12,PUPPY,Mauzer,/guides/questions-to-ask,Guidance,questions to ask before viewing or committing,high
/puppies/toby-male-12,PUPPY,Mauzer,/guides/health-and-care,Health,early care and veterinary routines,high
/puppies/toby-male-12,PUPPY,Mauzer,/guides/preparing-for-a-puppy,Preparation,preparing for a young puppy joining the household,high
/puppies/toffee-male,PUPPY,Poodle,/guides/questions-to-ask,Guidance,questions to ask before viewing or committing,high
/puppies/toffee-male,PUPPY,Poodle,/guides/health-and-care,Health,early care and veterinary routines,high
/puppies/toffee-male,PUPPY,Poodle,/guides/preparing-for-a-puppy,Preparation,preparing for a young puppy joining the household,high
/puppies/austin-male-7,PUPPY,Maltipoo,/guides/questions-to-ask,Guidance,questions to ask before viewing or committing,high
/puppies/austin-male-7,PUPPY,Maltipoo,/guides/health-and-care,Health,early care and veterinary routines,high
/puppies/austin-male-7,PUPPY,Maltipoo,/guides/preparing-for-a-puppy,Preparation,preparing for a young puppy joining the household,high
/puppies/agatha-female-7,PUPPY,Poodle,/guides/questions-to-ask,Guidance,questions to ask before viewing or committing,high
/puppies/agatha-female-7,PUPPY,Poodle,/guides/health-and-care,Health,early care and veterinary routines,high
/puppies/agatha-female-7,PUPPY,Poodle,/guides/preparing-for-a-puppy,Preparation,preparing for a young puppy joining the household,high
/puppies/agatha-female-6,PUPPY,Poodle,/guides/questions-to-ask,Guidance,questions to ask before viewing or committing,high
/puppies/agatha-female-6,PUPPY,Poodle,/guides/health-and-care,Health,early care and veterinary routines,high
/puppies/agatha-female-6,PUPPY,Poodle,/guides/preparing-for-a-puppy,Preparation,preparing for a young puppy joining the household,high
/puppies/grace-female-4,PUPPY,Maltese,/guides/questions-to-ask,Guidance,questions to ask before viewing or committing,high
/puppies/grace-female-4,PUPPY,Maltese,/guides/health-and-care,Health,early care and veterinary routines,high
/puppies/grace-female-4,PUPPY,Maltese,/guides/puppy-training-basics,Training,building training habits with an older puppy,high
/puppies/nutella-female-1,PUPPY,Pomeranian,/guides/questions-to-ask,Guidance,questions to ask before viewing or committing,high
/puppies/nutella-female-1,PUPPY,Pomeranian,/guides/health-and-care,Health,early care and veterinary routines,high
/puppies/nutella-female-1,PUPPY,Pomeranian,/guides/preparing-for-a-puppy,Preparation,preparing for a young puppy joining the household,high
/puppies/toby-male-11,PUPPY,Maltese,/guides/questions-to-ask,Guidance,questions to ask before viewing or committing,high
/puppies/toby-male-11,PUPPY,Maltese,/guides/health-and-care,Health,early care and veterinary routines,high
/puppies/toby-male-11,PUPPY,Maltese,/guides/puppy-training-basics,Training,building training habits with an older puppy,high
/puppies/koda-male-1,PUPPY,Pomsky,/guides/questions-to-ask,Guidance,questions to ask before viewing or committing,high
/puppies/koda-male-1,PUPPY,Pomsky,/guides/health-and-care,Health,early care and veterinary routines,high
/puppies/koda-male-1,PUPPY,Pomsky,/guides/preparing-for-a-puppy,Preparation,preparing for a young puppy joining the household,high
/puppies/monty-male-6,PUPPY,Poodle,/guides/questions-to-ask,Guidance,questions to ask before viewing or committing,high
/puppies/monty-male-6,PUPPY,Poodle,/guides/health-and-care,Health,early care and veterinary routines,high
/puppies/monty-male-6,PUPPY,Poodle,/guides/preparing-for-a-puppy,Preparation,preparing for a young puppy joining the household,high
/puppies/diana-female-8,PUPPY,Pomeranian,/guides/questions-to-ask,Guidance,questions to ask before viewing or committing,high
/puppies/diana-female-8,PUPPY,Pomeranian,/guides/health-and-care,Health,early care and veterinary routines,high
/puppies/diana-female-8,PUPPY,Pomeranian,/guides/preparing-for-a-puppy,Preparation,preparing for a young puppy joining the household,high
/puppies/isabella-female-4,PUPPY,Poodle,/guides/questions-to-ask,Guidance,questions to ask before viewing or committing,high
/puppies/isabella-female-4,PUPPY,Poodle,/guides/health-and-care,Health,early care and veterinary routines,high
/puppies/isabella-female-4,PUPPY,Poodle,/guides/preparing-for-a-puppy,Preparation,preparing for a young puppy joining the household,high
/puppies/jennie-female-6,PUPPY,Poodle,/guides/questions-to-ask,Guidance,questions to ask before viewing or committing,high
/puppies/jennie-female-6,PUPPY,Poodle,/guides/health-and-care,Health,early care and veterinary routines,high
/puppies/jennie-female-6,PUPPY,Poodle,/guides/preparing-for-a-puppy,Preparation,preparing for a young puppy joining the household,high
/puppies/diana-female-7,PUPPY,Pomeranian,/guides/questions-to-ask,Guidance,questions to ask before viewing or committing,high
/puppies/diana-female-7,PUPPY,Pomeranian,/guides/health-and-care,Health,early care and veterinary routines,high
/puppies/diana-female-7,PUPPY,Pomeranian,/guides/preparing-for-a-puppy,Preparation,preparing for a young puppy joining the household,high
/puppies/kyle-male-6,PUPPY,Pomeranian,/guides/questions-to-ask,Guidance,questions to ask before viewing or committing,high
/puppies/kyle-male-6,PUPPY,Pomeranian,/guides/health-and-care,Health,early care and veterinary routines,high
/puppies/kyle-male-6,PUPPY,Pomeranian,/guides/preparing-for-a-puppy,Preparation,preparing for a young puppy joining the household,high
/puppies/oreo-male-3,PUPPY,Maltipoo,/guides/questions-to-ask,Guidance,questions to ask before viewing or committing,high
/puppies/oreo-male-3,PUPPY,Maltipoo,/guides/health-and-care,Health,early care and veterinary routines,high
/puppies/oreo-male-3,PUPPY,Maltipoo,/guides/preparing-for-a-puppy,Preparation,preparing for a young puppy joining the household,high
/puppies/austin-male-6,PUPPY,Maltipoo,/guides/questions-to-ask,Guidance,questions to ask before viewing or committing,high
/puppies/austin-male-6,PUPPY,Maltipoo,/guides/health-and-care,Health,early care and veterinary routines,high
/puppies/austin-male-6,PUPPY,Maltipoo,/guides/preparing-for-a-puppy,Preparation,preparing for a young puppy joining the household,high
/puppies/skylar-female-2,PUPPY,Maltese,/guides/questions-to-ask,Guidance,questions to ask before viewing or committing,high
/puppies/skylar-female-2,PUPPY,Maltese,/guides/health-and-care,Health,early care and veterinary routines,high
/puppies/skylar-female-2,PUPPY,Maltese,/guides/preparing-for-a-puppy,Preparation,preparing for a young puppy joining the household,high
/puppies/mochi-male-2,PUPPY,Pomeranian,/guides/questions-to-ask,Guidance,questions to ask before viewing or committing,high
/puppies/mochi-male-2,PUPPY,Pomeranian,/guides/health-and-care,Health,early care and veterinary routines,high
/puppies/mochi-male-2,PUPPY,Pomeranian,/guides/preparing-for-a-puppy,Preparation,preparing for a young puppy joining the household,high
/puppies/daphne-female-3,PUPPY,Poodle,/guides/questions-to-ask,Guidance,questions to ask before viewing or committing,high
/puppies/daphne-female-3,PUPPY,Poodle,/guides/health-and-care,Health,early care and veterinary routines,high
/puppies/daphne-female-3,PUPPY,Poodle,/guides/preparing-for-a-puppy,Preparation,preparing for a young puppy joining the household,high
/puppies/amelia-female-7,PUPPY,Poodle,/guides/questions-to-ask,Guidance,questions to ask before viewing or committing,high
/puppies/amelia-female-7,PUPPY,Poodle,/guides/health-and-care,Health,early care and veterinary routines,high
/puppies/amelia-female-7,PUPPY,Poodle,/guides/preparing-for-a-puppy,Preparation,preparing for a young puppy joining the household,high
/puppies/teddy-male-5,PUPPY,Coton De Tulear,/guides/questions-to-ask,Guidance,questions to ask before viewing or committing,high
/puppies/teddy-male-5,PUPPY,Coton De Tulear,/guides/health-and-care,Health,early care and veterinary routines,high
/puppies/teddy-male-5,PUPPY,Coton De Tulear,/guides/preparing-for-a-puppy,Preparation,preparing for a young puppy joining the household,high
/puppies/berry-female-3,PUPPY,Poodle,/guides/questions-to-ask,Guidance,questions to ask before viewing or committing,high
/puppies/berry-female-3,PUPPY,Poodle,/guides/health-and-care,Health,early care and veterinary routines,high
/puppies/berry-female-3,PUPPY,Poodle,/guides/preparing-for-a-puppy,Preparation,preparing for a young puppy joining the household,high
/puppies/doraemon-male-1,PUPPY,Maltipom,/guides/questions-to-ask,Guidance,questions to ask before viewing or committing,high
/puppies/doraemon-male-1,PUPPY,Maltipom,/guides/health-and-care,Health,early care and veterinary routines,high
/puppies/doraemon-male-1,PUPPY,Maltipom,/guides/preparing-for-a-puppy,Preparation,preparing for a young puppy joining the household,high
/puppies/toby-male-10,PUPPY,Poodle,/guides/questions-to-ask,Guidance,questions to ask before viewing or committing,high
/puppies/toby-male-10,PUPPY,Poodle,/guides/health-and-care,Health,early care and veterinary routines,high
/puppies/toby-male-10,PUPPY,Poodle,/guides/preparing-for-a-puppy,Preparation,preparing for a young puppy joining the household,high
/puppies/isabella-female-3,PUPPY,Poodle,/guides/questions-to-ask,Guidance,questions to ask before viewing or committing,high
/puppies/isabella-female-3,PUPPY,Poodle,/guides/health-and-care,Health,early care and veterinary routines,high
/puppies/isabella-female-3,PUPPY,Poodle,/guides/preparing-for-a-puppy,Preparation,preparing for a young puppy joining the household,high
/puppies/arlo-male-5,PUPPY,Poodle,/guides/questions-to-ask,Guidance,questions to ask before viewing or committing,high
/puppies/arlo-male-5,PUPPY,Poodle,/guides/health-and-care,Health,early care and veterinary routines,high
/puppies/arlo-male-5,PUPPY,Poodle,/guides/preparing-for-a-puppy,Preparation,preparing for a young puppy joining the household,high
/puppies/zoey-female-3,PUPPY,Yorkie,/guides/questions-to-ask,Guidance,questions to ask before viewing or committing,high
/puppies/zoey-female-3,PUPPY,Yorkie,/guides/health-and-care,Health,early care and veterinary routines,high
/puppies/zoey-female-3,PUPPY,Yorkie,/guides/puppy-training-basics,Training,building training habits with an older puppy,high
/puppies/gizmo-male-2,PUPPY,Poodle,/guides/questions-to-ask,Guidance,questions to ask before viewing or committing,high
/puppies/gizmo-male-2,PUPPY,Poodle,/guides/health-and-care,Health,early care and veterinary routines,high
/puppies/gizmo-male-2,PUPPY,Poodle,/guides/preparing-for-a-puppy,Preparation,preparing for a young puppy joining the household,high
/puppies/coco-female-9,PUPPY,Poodle,/guides/questions-to-ask,Guidance,questions to ask before viewing or committing,high
/puppies/coco-female-9,PUPPY,Poodle,/guides/health-and-care,Health,early care and veterinary routines,high
/puppies/coco-female-9,PUPPY,Poodle,/guides/preparing-for-a-puppy,Preparation,preparing for a young puppy joining the household,high
/puppies/jessica-female-11,PUPPY,Maltipoo,/guides/questions-to-ask,Guidance,questions to ask before viewing or committing,high
/puppies/jessica-female-11,PUPPY,Maltipoo,/guides/health-and-care,Health,early care and veterinary routines,high
/puppies/jessica-female-11,PUPPY,Maltipoo,/guides/preparing-for-a-puppy,Preparation,preparing for a young puppy joining the household,high
/puppies/bagel-male-4,PUPPY,Maltipoo,/guides/questions-to-ask,Guidance,questions to ask before viewing or committing,high
/puppies/bagel-male-4,PUPPY,Maltipoo,/guides/health-and-care,Health,early care and veterinary routines,high
/puppies/bagel-male-4,PUPPY,Maltipoo,/guides/preparing-for-a-puppy,Preparation,preparing for a young puppy joining the household,high
/puppies/velvet-female-7,PUPPY,Poodle,/guides/questions-to-ask,Guidance,questions to ask before viewing or committing,high
/puppies/velvet-female-7,PUPPY,Poodle,/guides/health-and-care,Health,early care and veterinary routines,high
/puppies/velvet-female-7,PUPPY,Poodle,/guides/preparing-for-a-puppy,Preparation,preparing for a young puppy joining the household,high
/puppies/agatha-female-5,PUPPY,Poodle,/guides/questions-to-ask,Guidance,questions to ask before viewing or committing,high
/puppies/agatha-female-5,PUPPY,Poodle,/guides/health-and-care,Health,early care and veterinary routines,high
/puppies/agatha-female-5,PUPPY,Poodle,/guides/preparing-for-a-puppy,Preparation,preparing for a young puppy joining the household,high
/puppies/velvet-female-6,PUPPY,Poodle,/guides/questions-to-ask,Guidance,questions to ask before viewing or committing,high
/puppies/velvet-female-6,PUPPY,Poodle,/guides/health-and-care,Health,early care and veterinary routines,high
/puppies/velvet-female-6,PUPPY,Poodle,/guides/preparing-for-a-puppy,Preparation,preparing for a young puppy joining the household,high
/puppies/arlo-male-4,PUPPY,Poodle,/guides/questions-to-ask,Guidance,questions to ask before viewing or committing,high
/puppies/arlo-male-4,PUPPY,Poodle,/guides/health-and-care,Health,early care and veterinary routines,high
/puppies/arlo-male-4,PUPPY,Poodle,/guides/preparing-for-a-puppy,Preparation,preparing for a young puppy joining the household,high
/puppies/toto-male-3,PUPPY,Yorkie,/guides/questions-to-ask,Guidance,questions to ask before viewing or committing,high
/puppies/toto-male-3,PUPPY,Yorkie,/guides/health-and-care,Health,early care and veterinary routines,high
/puppies/toto-male-3,PUPPY,Yorkie,/guides/puppy-training-basics,Training,building training habits with an older puppy,high
/puppies/diana-female-6,PUPPY,Pomeranian,/guides/questions-to-ask,Guidance,questions to ask before viewing or committing,high
/puppies/diana-female-6,PUPPY,Pomeranian,/guides/health-and-care,Health,early care and veterinary routines,high
/puppies/diana-female-6,PUPPY,Pomeranian,/guides/preparing-for-a-puppy,Preparation,preparing for a young puppy joining the household,high
/puppies/gigi-female-8,PUPPY,Maltipoo,/guides/questions-to-ask,Guidance,questions to ask before viewing or committing,high
/puppies/gigi-female-8,PUPPY,Maltipoo,/guides/health-and-care,Health,early care and veterinary routines,high
/puppies/gigi-female-8,PUPPY,Maltipoo,/guides/preparing-for-a-puppy,Preparation,preparing for a young puppy joining the household,high
/puppies/austin-male-5,PUPPY,Maltipoo,/guides/questions-to-ask,Guidance,questions to ask before viewing or committing,high
/puppies/austin-male-5,PUPPY,Maltipoo,/guides/health-and-care,Health,early care and veterinary routines,high
/puppies/austin-male-5,PUPPY,Maltipoo,/guides/preparing-for-a-puppy,Preparation,preparing for a young puppy joining the household,high
/puppies/milo-male-11,PUPPY,Poodle,/guides/questions-to-ask,Guidance,questions to ask before viewing or committing,high
/puppies/milo-male-11,PUPPY,Poodle,/guides/health-and-care,Health,early care and veterinary routines,high
/puppies/milo-male-11,PUPPY,Poodle,/guides/preparing-for-a-puppy,Preparation,preparing for a young puppy joining the household,high
/puppies/luna-female-4,PUPPY,Poodle,/guides/questions-to-ask,Guidance,questions to ask before viewing or committing,high
/puppies/luna-female-4,PUPPY,Poodle,/guides/health-and-care,Health,early care and veterinary routines,high
/puppies/luna-female-4,PUPPY,Poodle,/guides/preparing-for-a-puppy,Preparation,preparing for a young puppy joining the household,high
/puppies/inky-female,PUPPY,Mini Schnauzer,/guides/questions-to-ask,Guidance,questions to ask before viewing or committing,high
/puppies/inky-female,PUPPY,Mini Schnauzer,/guides/health-and-care,Health,early care and veterinary routines,high
/puppies/inky-female,PUPPY,Mini Schnauzer,/guides/preparing-for-a-puppy,Preparation,preparing for a young puppy joining the household,high
/puppies/jennie-female-5,PUPPY,Poodle,/guides/questions-to-ask,Guidance,questions to ask before viewing or committing,high
/puppies/jennie-female-5,PUPPY,Poodle,/guides/health-and-care,Health,early care and veterinary routines,high
/puppies/jennie-female-5,PUPPY,Poodle,/guides/preparing-for-a-puppy,Preparation,preparing for a young puppy joining the household,high
/puppies/noah-male-1,PUPPY,Maltipoo,/guides/questions-to-ask,Guidance,questions to ask before viewing or committing,high
/puppies/noah-male-1,PUPPY,Maltipoo,/guides/health-and-care,Health,early care and veterinary routines,high
/puppies/noah-male-1,PUPPY,Maltipoo,/guides/preparing-for-a-puppy,Preparation,preparing for a young puppy joining the household,high
/puppies/coco-female-8,PUPPY,Pomsky,/guides/questions-to-ask,Guidance,questions to ask before viewing or committing,high
/puppies/coco-female-8,PUPPY,Pomsky,/guides/health-and-care,Health,early care and veterinary routines,high
/puppies/coco-female-8,PUPPY,Pomsky,/guides/preparing-for-a-puppy,Preparation,preparing for a young puppy joining the household,high
/puppies/scarlet-female-2,PUPPY,Pomapoo,/guides/questions-to-ask,Guidance,questions to ask before viewing or committing,high
/puppies/scarlet-female-2,PUPPY,Pomapoo,/guides/health-and-care,Health,early care and veterinary routines,high
/puppies/scarlet-female-2,PUPPY,Pomapoo,/guides/preparing-for-a-puppy,Preparation,preparing for a young puppy joining the household,high
